,RBF_Kernel,Matern_Kernel,Periodic_Kernel,Stock50,SmartMeter,HousePricing,MNIST,SVHN,CelebA32
0,0.436941238,0.355605843,0.544897202,0.460793622,0.291928113,0.499504493,0.522528075,0.746264412,0.646532993
1,0.382451638,0.353132629,0.566988539,0.465263678,0.291928103,0.536778994,0.496257361,0.637855164,0.378404756
2,0.367645866,0.340571407,0.559913958,0.445218019,0.291928113,0.529040005,0.422050174,0.571885628,0.252083103
3,0.358421739,0.333782028,0.555354268,0.433265131,0.291928113,0.524911699,0.374497596,0.532705605,0.212309043
4,0.352700747,0.328875973,0.553582936,0.423473227,0.291928113,0.520529611,0.341967363,0.50164439,0.16796128
5,0.348245401,0.325402236,0.552787523,0.411802603,0.291928113,0.516345989,0.318761028,0.476308635,0.16040421
6,0.345226005,0.323995782,0.552181891,0.408580699,0.291928113,0.513548288,0.303487916,0.457001597,0.152866299
7,0.342362143,0.32129666,0.551270878,0.404587952,0.291928113,0.511409958,0.29244031,0.4475376,0.146653543
8,0.339935507,0.320704559,0.550615067,0.399888865,0.291928113,0.508425905,0.284998484,0.436634372,0.143393214
9,0.338136207,0.319144575,0.550019153,0.395731618,0.291928113,0.505606867,0.276064873,0.425208739,0.156515608
